1	PI	545	546	549	552	555	558	561	564	567	570	573	576	579	582	585	588
18	PI	591	594	597	600	603	606	609	612	615	618	621	624	627	630	633	636
35	PI	639	642	645	648	651	654	657	660	663	666	669	672	675	678	681	684
52	PI	687	690	693	696	699	702	705	708	711	714	717	720	723	726	729	732
69	PI	735	738	741	744	747	750	753	756	759	762	765	768	771	774	777	780
86	PI	783	786	789	792	795	798	801	804	807	810	813	816	819	822	825	828
103	PI	831	834	837	840	843	846	849	852	855	858	861	864	867	870	873	876
120	PI	879	882	885	888	891	894	897	900	903	906	909	912	915	918	921	924
137	PI	927	930	933	936	939	942	945	948	951	954	957	960	963	966	969	972
154	PI	975	978	981	984	987	990	993	996	999	1002	1005	1008	1011	1014	1017	1020
171	PI	1023	1026	1029	1032	1035	1038	1041	1044	1047	1050	1053	1056	1059	1062	1065	1068
188	PI	1071	1074	1077	1080	1083	1086	1089	1092	1095	1098	1101	1104	1107	1110	1113	1116
205	PI	1119	1122	1125	1128	1131	1134	1137	1140	1143	1146	1149	1152	1155	1158	1161	1164
222	PI	1167	1170	1173	1176	1179	1182	1185	1188	1191	1194	1197	1200	1203	1206	1209	1212
239	PI	1215	1218	1221	1224	1227	1230	1233	1236	1239	1242	1245	1248	1251	1254	1257	1260
256	PI	1263	1266	1269	1272	1275	1278	1281	1284	1287	1290	1293	1296	1299	1302	1305	1308
273	PI	545	591	639	687	735	783	831	879	927	975	1023	1071	1119	1167	1215	1263
290	PI	546	594	642	690	738	786	834	882	930	978	1026	1074	1122	1170	1218	1266
307	PI	549	597	645	693	741	789	837	885	933	981	1029	1077	1125	1173	1221	1269
324	PI	552	600	648	696	744	792	840	888	936	984	1032	1080	1128	1176	1224	1272
341	PI	555	603	651	699	747	795	843	891	939	987	1035	1083	1131	1179	1227	1275
358	PI	558	606	654	702	750	798	846	894	942	990	1038	1086	1134	1182	1230	1278
375	PI	561	609	657	705	753	801	849	897	945	993	1041	1089	1137	1185	1233	1281
392	PI	564	612	660	708	756	804	852	900	948	996	1044	1092	1140	1188	1236	1284
409	PI	567	615	663	711	759	807	855	903	951	999	1047	1095	1143	1191	1239	1287
426	PI	570	618	666	714	762	810	858	906	954	1002	1050	1098	1146	1194	1242	1290
443	PI	573	621	669	717	765	813	861	909	957	1005	1053	1101	1149	1197	1245	1293
460	PI	576	624	672	720	768	816	864	912	960	1008	1056	1104	1152	1200	1248	1296
477	PI	579	627	675	723	771	819	867	915	963	1011	1059	1107	1155	1203	1251	1299
494	PI	582	630	678	726	774	822	870	918	966	1014	1062	1110	1158	1206	1254	1302
511	PI	585	633	681	729	777	825	873	921	969	1017	1065	1113	1161	1209	1257	1305
528	PI	588	636	684	732	780	828	876	924	972	1020	1068	1116	1164	1212	1260	1308
545	AND	6289
5246	NOR	5370	5428
5249	NOR	5312
5250	NOR	5312
5251	NOR	5374	5430
5254	NOR	5315
5255	NOR	5315
5256	NOR	5318	5379
5259	NOR	5318	5378
5262	NOR	5322	5323	5495
5266	NOR	5324
5267	NOR	5324
5268	NOR	5327	5387
5271	NOR	5331	5332	5333
5275	NOR	5336
5276	NOR	5336
5277	NOR	5339	5400
5280	NOR	5339	5399
5283	NOR	5343	5344	5516
5287	NOR	5345
5288	NOR	5345
5289	NOR	5348	5408
5292	NOR	5352	5353	5354
5296	NOR	5357
5297	NOR	5357
5298	NOR	5360	5421
5301	NOR	5360	5420
5304	NOR	5364	5365	5537
5308	NOR	6301
5309	NOR	5366	5425
5312	NOR	5370	5427
5315	NOR	5374	5429
5318	NOR	5378	5379	5554
5322	NOR	5380
5323	NOR	5380
5324	NOR	5383	5438
5327	NOR	5387	5388	5389
5331	NOR	5392
5332	NOR	5392
5333	NOR	5395	5451
5336	NOR	5395	5450
5339	NOR	5399	5400	5575
5343	NOR	5401
5344	NOR	5401
5345	NOR	5404	5459
5348	NOR	5408	5409	5410
5352	NOR	5413
5353	NOR	5413
5354	NOR	5416	5472
5357	NOR	5416	5471
5360	NOR	5420	5421	5596
5364	NOR	5422
5365	NOR	5422
5366	NOR	5425	5426	5608
5370	NOR	5427	5428	5613
5374	NOR	5429	5430	5618
5378	NOR	5431
5379	NOR	5431
5380	NOR	5434	5493
5383	NOR	5438	5439	5440
5387	NOR	5443
5388	NOR	5443
5389	NOR	5446	5506
5392	NOR	5446	5505
5395	NOR	5450	5451	5639
5399	NOR	5452
5400	NOR	5452
5401	NOR	5455	5514
5404	NOR	5459	5460	5461
5408	NOR	5464
5409	NOR	5464
5410	NOR	5467	5527
5413	NOR	5467	5526
5416	NOR	5471	5472	5660
5420	NOR	5473
5421	NOR	5473
5422	NOR	5476	5535
5425	NOR	5480
5426	NOR	5480
5427	NOR	5483
5428	NOR	5483
5429	NOR	5486
5430	NOR	5486
5431	NOR	5489	5552
5434	NOR	5493	5494	5495
5438	NOR	5498
5439	NOR	5498
5440	NOR	5501	5565
5443	NOR	5501	5564
5446	NOR	5505	5506	5694
5450	NOR	5507
5451	NOR	5507
5452	NOR	5510	5573
5455	NOR	5514	5515	5516
5459	NOR	5519
5460	NOR	5519
5461	NOR	5522	5586
5464	NOR	5522	5585
5467	NOR	5526	5527	5715
5471	NOR	5528
5472	NOR	5528
5473	NOR	5531	5594
5476	NOR	5535	5536	5537
5480	NOR	5540	5606
5483	NOR	5544	5611
5486	NOR	5548	5616
5489	NOR	5552	5553	5554
5493	NOR	5557
5494	NOR	5557
5495	NOR	5560	5629
5498	NOR	5560	5628
5501	NOR	5564	5565	5749
5505	NOR	5566
5506	NOR	5566
5507	NOR	5569	5637
5510	NOR	5573	5574	5575
5514	NOR	5578
5515	NOR	5578
5516	NOR	5581	5650
5519	NOR	5581	5649
5522	NOR	5585	5586	5770
5526	NOR	5587
5527	NOR	5587
5528	NOR	5590	5658
5531	NOR	5594	5595	5596
5535	NOR	5599
5536	NOR	5599
5537	NOR	5602	5671
5540	NOR	5606	5607	5608
5544	NOR	5611	5612	5613
5548	NOR	5616	5617	5618
5552	NOR	5621
5553	NOR	5621
5554	NOR	5624	5684
5557	NOR	5624	5683
5560	NOR	5628	5629	5798
5564	NOR	5630
5565	NOR	5630
5566	NOR	5633	5692
5569	NOR	5637	5638	5639
5573	NOR	5642
5574	NOR	5642
5575	NOR	5645	5705
5578	NOR	5645	5704
5581	NOR	5649	5650	5819
5585	NOR	5651
5586	NOR	5651
5587	NOR	5654	5713
5590	NOR	5658	5659	5660
5594	NOR	5663
5595	NOR	5663
5596	NOR	5666	5726
5599	NOR	5666	5725
5602	NOR	5670	5671	6287
5606	NOR	5672
5607	NOR	5672
5608	NOR	5730	5786
5611	NOR	5673
5612	NOR	5673
5613	NOR	5734	5788
5616	NOR	5676
5617	NOR	5676
5618	NOR	5679	5739
5621	NOR	5679	5738
5624	NOR	5683	5684	5846
5628	NOR	5685
5629	NOR	5685
5630	NOR	5688	5747
5633	NOR	5692	5693	5694
5637	NOR	5697
5638	NOR	5697
5639	NOR	5700	5760
5642	NOR	5700	5759
5645	NOR	5704	5705	5867
5649	NOR	5706
5650	NOR	5706
5651	NOR	5709	5768
5654	NOR	5713	5714	5715
5658	NOR	5718
5659	NOR	5718
5660	NOR	5721	5781
5663	NOR	5721	5780
5666	NOR	5725	5726	6277
5670	NOR	5727
5671	NOR	5727
5672	NOR	6302
5673	NOR	5730	5785
5676	NOR	5734	5787
5679	NOR	5738	5739	5892
5683	NOR	5740
5684	NOR	5740
5685	NOR	5743	5796
5688	NOR	5747	5748	5749
5692	NOR	5752
5693	NOR	5752
5694	NOR	5755	5809
5697	NOR	5755	5808
5700	NOR	5759	5760	5913
5704	NOR	5761
5705	NOR	5761
5706	NOR	5764	5817
5709	NOR	5768	5769	5770
5713	NOR	5773
5714	NOR	5773
5715	NOR	5776	5830
5718	NOR	5776	5829
5721	NOR	5780	5781	6267
5725	NOR	5782
5726	NOR	5782
5727	NOR	6281	6285
5730	NOR	5785	5786	5930
5734	NOR	5787	5788	5935
5738	NOR	5789
5739	NOR	5789
5740	NOR	5792	5844
5743	NOR	5796	5797	5798
5747	NOR	5801
5748	NOR	5801
5749	NOR	5804	5857
5752	NOR	5804	5856
5755	NOR	5808	5809	5956
5759	NOR	5810
5760	NOR	5810
5761	NOR	5813	5865
5764	NOR	5817	5818	5819
5768	NOR	5822
5769	NOR	5822
5770	NOR	5825	5878
5773	NOR	5825	5877
5776	NOR	5829	5830	6257
5780	NOR	5831
5781	NOR	5831
5782	NOR	6271	6275
5785	NOR	5834
5786	NOR	5834
5787	NOR	5837
5788	NOR	5837
5789	NOR	5840	5890
5792	NOR	5844	5845	5846
5796	NOR	5849
5797	NOR	5849
5798	NOR	5852	5903
5801	NOR	5852	5902
5804	NOR	5856	5857	5990
5808	NOR	5858
5809	NOR	5858
5810	NOR	5861	5911
5813	NOR	5865	5866	5867
5817	NOR	5870
5818	NOR	5870
5819	NOR	5873	5924
5822	NOR	5873	5923
5825	NOR	5877	5878	6247
5829	NOR	5879
5830	NOR	5879
5831	NOR	6261	6265
5834	NOR	5882	5928
5837	NOR	5886	5933
5840	NOR	5890	5891	5892
5844	NOR	5895
5845	NOR	5895
5846	NOR	5898	5946
5849	NOR	5898	5945
5852	NOR	5902	5903	6020
5856	NOR	5904
5857	NOR	5904
5858	NOR	5907	5954
5861	NOR	5911	5912	5913
5865	NOR	5916
5866	NOR	5916
5867	NOR	5919	5967
5870	NOR	5919	5966
5873	NOR	5923	5924	6237
5877	NOR	5925
5878	NOR	5925
5879	NOR	6251	6255
5882	NOR	5928	5929	5930
5886	NOR	5933	5934	5935
5890	NOR	5938
5891	NOR	5938
5892	NOR	5941	5980
5895	NOR	5941	5979
5898	NOR	5945	5946	6046
5902	NOR	5947
5903	NOR	5947
5904	NOR	5950	5988
5907	NOR	5954	5955	5956
5911	NOR	5959
5912	NOR	5959
5913	NOR	5962	6001
5916	NOR	5962	6000
5919	NOR	5966	5967	6227
5923	NOR	5968
5924	NOR	5968
5925	NOR	6241	6245
5928	NOR	5971
5929	NOR	5971
5930	NOR	6005	6036
5933	NOR	5972
5934	NOR	5972
5935	NOR	5975	6010
5938	NOR	5975	6009
5941	NOR	5979	5980	6070
5945	NOR	5981
5946	NOR	5981
5947	NOR	5984	6018
5950	NOR	5988	5989	5990
5954	NOR	5993
5955	NOR	5993
5956	NOR	5996	6031
5959	NOR	5996	6030
5962	NOR	6000	6001	6217
5966	NOR	6002
5967	NOR	6002
5968	NOR	6231	6235
5971	NOR	6303
5972	NOR	6005	6035
5975	NOR	6009	6010	6091
5979	NOR	6011
5980	NOR	6011
5981	NOR	6014	6044
5984	NOR	6018	6019	6020
5988	NOR	6023
5989	NOR	6023
5990	NOR	6026	6057
5993	NOR	6026	6056
5996	NOR	6030	6031	6207
6000	NOR	6032
6001	NOR	6032
6002	NOR	6221	6225
6005	NOR	6035	6036	6108
6009	NOR	6037
6010	NOR	6037
6011	NOR	6040	6068
6014	NOR	6044	6045	6046
6018	NOR	6049
6019	NOR	6049
6020	NOR	6052	6081
6023	NOR	6052	6080
6026	NOR	6056	6057	6197
6030	NOR	6058
6031	NOR	6058
6032	NOR	6211	6215
6035	NOR	6061
6036	NOR	6061
6037	NOR	6064	6089
6040	NOR	6068	6069	6070
6044	NOR	6073
6045	NOR	6073
6046	NOR	6076	6102
6049	NOR	6076	6101
6052	NOR	6080	6081	6187
6056	NOR	6082
6057	NOR	6082
6058	NOR	6201	6205
6061	NOR	6085	6106
6064	NOR	6089	6090	6091
6068	NOR	6094
6069	NOR	6094
6070	NOR	6097	6119
6073	NOR	6097	6118
6076	NOR	6101	6102	6177
6080	NOR	6103
6081	NOR	6103
6082	NOR	6191	6195
6085	NOR	6106	6107	6108
6089	NOR	6111
6090	NOR	6111
6091	NOR	6114	6129
6094	NOR	6114	6128
6097	NOR	6118	6119	6167
6101	NOR	6120
6102	NOR	6120
6103	NOR	6181	6185
6106	NOR	6123
6107	NOR	6123
6108	NOR	6124	6134
6111	NOR	6124	6133
6114	NOR	6128	6129	6157
6118	NOR	6130
6119	NOR	6130
6120	NOR	6171	6175
6123	NOR	6304
6124	NOR	6133	6134	6147
6128	NOR	6135
6129	NOR	6135
6130	NOR	6161	6165
6133	NOR	6138
6134	NOR	6138
6135	NOR	6151	6155
6138	NOR	6141	6145
6141	NOT	6145	6146	6147
6145	NOR	6150
6146	NOT	6150
6147	NOR	6151	6156
6150	NOR	6305
6151	NOR	6155	6156	6157
6155	NOR	6160
6156	NOR	6160
6157	NOR	6161	6166
6160	NOR	6306
6161	NOR	6165	6166	6167
6165	NOR	6170
6166	NOR	6170
6167	NOR	6171	6176
6170	NOR	6307
6171	NOR	6175	6176	6177
6175	NOR	6180
6176	NOR	6180
6177	NOR	6181	6186
6180	NOR	6308
6181	NOR	6185	6186	6187
6185	NOR	6190
6186	NOR	6190
6187	NOR	6191	6196
6190	NOR	6309
6191	NOR	6195	6196	6197
6195	NOR	6200
6196	NOR	6200
6197	NOR	6201	6206
6200	NOR	6310
6201	NOR	6205	6206	6207
6205	NOR	6210
6206	NOR	6210
6207	NOR	6211	6216
6210	NOR	6311
6211	NOR	6215	6216	6217
6215	NOR	6220
6216	NOR	6220
6217	NOR	6221	6226
6220	NOR	6312
6221	NOR	6225	6226	6227
6225	NOR	6230
6226	NOR	6230
6227	NOR	6231	6236
6230	NOR	6313
6231	NOR	6235	6236	6237
6235	NOR	6240
6236	NOR	6240
6237	NOR	6241	6246
6240	NOR	6314
6241	NOR	6245	6246	6247
6245	NOR	6250
6246	NOR	6250
6247	NOR	6251	6256
6250	NOR	6315
6251	NOR	6255	6256	6257
6255	NOR	6260
6256	NOR	6260
6257	NOR	6261	6266
6260	NOR	6316
6261	NOR	6265	6266	6267
6265	NOR	6270
6266	NOR	6270
6267	NOR	6271	6276
6270	NOR	6317
6271	NOR	6275	6276	6277
6275	NOR	6280
6276	NOR	6280
6277	NOR	6281	6286
6280	NOR	6318
6281	NOR	6285	6286	6287
6285	NOR	6288
6286	NOR	6288
6287	NOR	6319
6288	NOR	6320
6289	PO
6290	PO
6291	PO
6292	PO
6293	PO
6294	PO
6295	PO
6296	PO
6297	PO
6298	PO
6299	PO
6300	PO
6301	PO
6302	PO
6303	PO
6304	PO
6305	PO
6306	PO
6307	PO
6308	PO
6309	PO
6310	PO
6311	PO
6312	PO
6313	PO
6314	PO
6315	PO
6316	PO
6317	PO
6318	PO
6319	PO
6320	PO
